"","x"
"318","Aware, Inc. (NASDAQ:AWRE) is a biometrics software and services company based near Boston, Massachusetts."
"319","Editas Medicine is a discovery-phase pharmaceutical company based in Cambridge, Massachusetts which aims to develop therapies based on CRISPR–Cas9 gene editing technology. It was founded in 2013 with funding from Third Rock Ventures, Polaris Partners and Flagship Ventures and licensed CRISPR patents from the Broad Institute's Feng Zhang, patents from Harvard's David Liu  and George Church and patents from Partners Healthcare-MGH's J. Keith Joung. These four were co-founders and scientific advisory board members along with Jennifer Doudna.The company went public on 2 Feb 2016.  This initial public offering was noted as being the first such from a company which aims to use ""DNA itself to internally treat afflictions"".  The company has stated that “It will be many years, if ever, before we have a product candidate ready for commercialization.”  Further, the company's valuation depends on a few patents, some of which are in dispute as of early 2018, presenting a major risk to the company's continued viability.The company entered into a strategic collaboration with Juno Therapeutics in 2015 to combine its CRISPR-Cas9 technology with Juno's experience in creating chimeric antigen receptor and high-affinity T cell receptor therapeutics to the end of developing cancer therapeutics.The company announced in 2015 that it was planning a clinical trial in 2017 using CRISPR gene editing techniques to treat Leber's congenital amaurosis, a rare genetic illness that causes blindness. On 30 Nov 2018, the FDA gave permission to start clinical trials for the drug, under the investigational name EDIT-101.Direct competitors to Editas include Crispr Therapeutics, Intellia Therapeutics, and Caribou Biosciences.


== References =="
"320","MannKind Corporation is a biopharmaceutical company focusing on the discovery, development, and commercialization of therapeutic products for diseases such as diabetes and pulmonary arterial hypertension. Based in Westlake Village, California, the company was founded in February 1991. However, its present form is a result of a 2003 merger of three companies owned by Alfred E. Mann, Pharmaceutical Discovery Corporation (PDC), the cancer vaccine developer CTL ImmunoTherapies, Inc., and its sister company Allecure Corp, which was developing a allergy vaccine technology.  MannKind Corporation was named after its founder, Alfred Mann. One of the former companies, Pharmaceutical Discovery, was purchased in 2001 from Solomon Steiner; with that purchase MannKind acquired the Technosphere molecule and Medtone inhaler, upon which was developed its lead product, Afrezza (inhalable insulin)."
"321","Wix.com Ltd. is an Israeli cloud-based web development platform that was first developed and popularised by the Israeli company also called Wix. It allows users to create HTML5 websites and mobile sites through the use of online drag and drop tools. Along with its headquarters and other offices in Israel, Wix also has offices in Canada, Brazil, Germany, India, Ireland, Lithuania, the United States, Ukraine.Users may add functionality such as social plug-ins, e-commerce, online marketing, contact forms, e-mail marketing, and community forums to their web sites using a variety of Wix-developed and third-party applications. The Wix website builder is built on a freemium business model, earning its revenues through premium upgrades."
"322","Jack in the Box is an American fast-food restaurant chain founded February 21, 1951, by Robert O. Peterson in San Diego, California, where it is headquartered. The chain has 2,200 locations, primarily serving the West Coast of the United States. Restaurants are also found in selected large urban areas outside the West Coast, including Phoenix, Denver, Albuquerque, El Paso, Dallas-Fort Worth, Houston, Austin, San Antonio, Baton Rouge, Nashville, Charlotte, St. Louis, Pittsburgh, Indianapolis, and Cincinnati. The company also formerly operated the Qdoba Mexican Grill chain until Apollo Global Management bought the chain in December 2017.Food items include a variety of chicken tenders and french fries along with hamburger and cheeseburger sandwiches and selections of internationally themed foods such as tacos (Mexico) and egg rolls (China)."
"323","LegacyTexas Bank is a commercial bank headquartered in Plano, Texas. It is one of the largest locally based banks in North Texas."
"324","MWI Animal Health (NASDAQ: MWIV) is an international animal health products supplier for veterinarians. The company is based in Boise, Idaho and distributes over 10,000 products to over 350 vendors throughout the US and the UK."
"325","Arcturus Therapeutics is a preclinical drug delivery and RNA medicines company. The company is focused on the development of UNA Oligomer chemistry and LUNAR® lipid-mediated delivery.
Arcturus Therapeutics is headquartered in San Diego, CA, US."
"326","Expeditors (Expeditors International of Washington) is an American worldwide logistics and freight forwarding company headquartered in Seattle, Washington."
"327","OpenText Corporation (also written opentext) is a Canadian company that develops and sells enterprise information management (EIM) software.OpenText, headquartered in Waterloo, Ontario, Canada, is Canada's largest software company as of 2014 and recognized as one of Canada's top 100 employers 2016 by Mediacorp Canada Inc.OpenText software applications manage content or unstructured data for large companies, government agencies, and professional service firms. OpenText aims its products at addressing information management requirements, including management of large volumes of content, compliance with regulatory requirements, and mobile and online experience management.OpenText employs over 12,000 people worldwide and is a publicly traded company, listed on the NASDAQ (OTEX) and the Toronto Stock Exchange (OTEX)."
"328","Coherent, Inc is a company with headquarters located in Santa Clara, California, United States, with other sites located in the US, Europe, and Asia.  It was founded in 1966 by Eugene Watson as a spin-off from laser company Spectra-Physics and converted to public ownership in 1970.
The company designs, manufactures and markets laser systems and components, laser measurement and control products, optics, and laser accessories, which are used both in industry and scientific research. According to the company's 2011 SEC filing, their markets are the microelectronics industry (e.g., flat panel display manufacturing, integrated circuit packaging, and integrated circuit inspection), scientific research, OEM components, and materials processing (e.g., CO2 lasers for cutting metals)."
"329","Moderna, Inc. is a Cambridge, Massachusetts-based biotechnology company that is focused on drug discovery and drug development based on messenger RNA (mRNA). The company creates synthetic mRNA that can be injected into patients to help them create their own therapies."
"330","Sigma Designs is an American public corporation that designs and builds high-performance system-on-a-chip semiconductor technologies for Internet-based set-top boxes, DVD players/recorders, high-definition televisions, media processors, digital media adapters, portable media players and home connectivity products. In addition to platform processing and home network hardware, Sigma Designs also offers engineering support services and customized integrated circuit development.
The company develops products for the following connected media platforms: IPTV (video over IP) set-top boxes, TV media players (such as Blu-ray), HDTVs, multimedia players, digital media adapters, portable media players, and home networking products, such as HomePlug AV, HomePNA and G.hn. Sigma Designs owns the intellectual property and is one of two chip makers for the Z-Wave home control technology. Sigma has alliances with other technology companies, including Microsoft, and their products are found in stand-alone full HD multimedia players."
"331","Fuel Cell Energy, Inc. is a global fuel cell power company. It designs, manufactures, operates and services Direct Fuel Cell power plants (a type of molten carbonate fuel cell), to electrochemically produce electricity and heat from a range of basic fuels including natural gas and biogas. As the biggest publicly traded fuel cell manufacturer in the U.S., the company operates over 50 plants all over the world. It operates the world’s largest fuel cell park, Gyeonggi Green Energy Fuel cell park, which is located in South Korea. The park consists of 21 power plants providing 59 Megawatt of electricity plus district heating to a number of customers in South Korea. It also operates the largest fuel cell park in North America consisting of five 2.8MW power plants and a rankine cycle turbine bottoming cycle in Bridgeport, Connecticut. The company has two markets including ultra-clean power, based on clean natural gas, and renewable power operating on renewable biogas. Its customer base  covers a wide range of commercial and industrial enterprises worldwide including utility companies, municipalities, universities, etc."
"332","Exelixis, Inc. is a genomics-based drug discovery company located in Alameda, California, and the producer of Cometriq, a treatment approved by the U.S. Food and Drug Administration (FDA) for medullary thyroid cancer with clinical activity in several other types of metastatic cancer.
Exelixis was founded in 1994; the scientific founders were Spyridon Artavanis–Tsakonas, at Yale at that time, and Corey Goodman and Gerry Rubin who were then at the University of California, Berkeley.  George Scangos joined the company as CEO in 1996.  The business plan was to use model organisms (fruit flies, nematodes, and zebrafish) and functional genomics to identify pathways and biological targets that could be exploited in the fields of agriculture and medicine. It eventually set up a subsidiary, Exelixis Plant Sciences, for the agricultural work.By 2000 it had left the radical exploratory phase behind and became focused on drug discovery and had a chemical library of 4 million compounds.   The company went public that year, after withdrawing its offering the week before; it raised $118 million in a down market.In 2002 the company signed a broad alliance with GSK to discover new drugs in the fields of cancer, inflammatory diseases, and vascular conditions; GSK paid it $30 million in cash, bought $14 million in stock at twice the market rate, and committed to providing Exelixis with $90 million in research funding; it also offered loan financing of up to $85 million.By 2002 the company had limited its internal efforts to cancer, and had settled its strategy on discovering and developing drugs that could inhibit targeted small sets of tyrosine kinases that are needed for cancer formation, growth, and metastasis.  The sets of TKs had been identified by means of its prior functional genomics work.  This approach was controversial at the time; most companies try to selectively target just one protein in their discovery efforts.In 2006 Exelixis partnered with Daiichi Sankyo on compounds that targeted mineralocorticoid receptors; esaxerenone was part of this collaboration.  In 2007, the company partnered its MEK inhibitor program with Genentech; cobimetinib (at that time XL-518) was part of this collaboration.  Exelixis had filed an IND on XL-518 prior to the partnership, committed to funding and running the Phase I trial, and retained rights to co-market it in the US.In 2008 the company partnered its lead cancer drug candidate, XL-184 (which would become called cabozantinib) and another cancer candidate, XL-281, with Bristol Myers Squibb; BMS returned the rights to XL-184 to Exelixis in 2010 and returned the rights to other drug candidate in 2011.In 2010 Scangos departed as CEO to take over at Biogen and the company appointed Michael M. Morrissey as President and CEO; Morrissey had joined the company in 2000 as Vice President of Discovery Research. At that time the company had eight drugs in clinical trials.Exelixis' first drug approval came in 2012, when cabozantinib was approved for medullary thyroid cancer, an orphan indication.  It was approved in Europe in 2014.Exelixis invested heavily in exploring cabozantinib in other cancers, betting the future of the company on the drug.  In 2014 the drug failed a Phase III trial in prostate cancer, and the company laid off 70% of its employees.In 2015 Genentech and Exelixis won FDA approval for cobimetinib for certain forms of melanoma.In March 2016 Exelixis licensed to Ipsen worldwide rights (outside the US, Canada, and Japan) to market cabozantinib.In April 2016 the FDA granted approval for marketing the tablet formulation as a second line treatment for kidney cancer and the same was approved in Europe in October of that year.In December 2017, the FDA granted approval for the use of cabozantinib for first line treatment of kidney cancer and in May 2018 approval for first-line treatment was approved in Europe."
"333","Urban Outfitters, Inc. is a multinational lifestyle retail corporation headquartered in Philadelphia, Pennsylvania. It operates in the United States, Sweden, United Kingdom, Spain, Denmark, France, Germany, Ireland, Belgium, Canada, Italy, the Netherlands, Israel and Pakistan. The Urban Outfitters brand targets young adults with a merchandise mix of women's and men's fashion apparel, footwear, beauty and accessories, activewear and gear, and housewares, as well as music, primarily vinyl records and cassettes. Much of the merchandise is designed and produced by the company's wholesale division on multiple private labels.
The company was founded as the retail store Free People by Richard Hayne, Judy Wicks, and Scott Belair in 1970 as a project for an entrepreneurship class at University of Pennsylvania. It was renamed to Urban Outfitters and incorporated in 1976.Urban Outfitters, Inc. (URBN) carries multiple stores within the URBN portfolio of brands, which also includes Anthropologie, Free People, Terrain, BHLDN, and The Vetri Group."
"334","Westamerica Bancorporation is the holding company for Westamerica Bank and its subsidiaries. The commercial and regional community bank, headquartered in Fairfield, California, has $4.7 billion in assets and more than 90 branches in Northern and Central California."
"335","Hancock Whitney Corp. is a bank holding company headquartered in Gulfport, Mississippi. It operates 237 branches in Mississippi, Alabama, Florida, Louisiana, and Texas. The bank is the official bank of the New Orleans Saints and issues the official debit card.  The bank is also the official bank of LSU Athletics and issues the official debit card and credit card."
"336","GreenSky, Inc. is a financial technology company founded in 2006 based in Atlanta, Georgia. The company provides technology to banks and merchants to make loans to consumers for home improvement, solar, healthcare and other purposes. Financing for GreenSky credit programs is provided by federally-insured, federal and state-chartered financial institutions. From 2012 to 2016 nearly $5 billion had been lent through GreenSky credit program."
"337","Core-Mark Holding Company (NASDAQ: CORE) distributes fresh, chilled and frozen merchandise mainly to convenience stores in the United States.  It also provides associated business services such as category management and management of promotions."
"338","Banc of California is a bank serving the state of California with 30+ banking branches in Southern California. The bank is headquartered in Santa Ana, California."
"339","Innodata Inc., formerly Innodata Isogen, Inc., is an American company that provides business process, technology and consulting services. The company also provides products that aim to help clients create, manage, use and distribute digital information.
As of June 2012, Innodata has a client base that includes many preeminent media, publishing and information services companies, as well as enterprises in information-intensive industries such as aerospace, defense, financial services, government, healthcare, high technology, insurance, intelligence, manufacturing and law.Founded in 1988, Innodata employs more than 5,000 people worldwide. It is headquartered at Hackensack, NJ, and has additional offices in Europe, Israel, India, the Philippines, Sri Lanka and a business presence in China."
"340","Pattern Energy Group Inc  is a Wind and Solar Power Generator  headquartered in San Francisco, California with projects in Canada, Chile, Japan and United States.  Mike M. Garland is the  President, and CEO.  It is the largest wind power generator in Canada and is building the largest wind farm in North America."
"341","RTI Surgical is a medical technology company that was founded in 1992 as Pioneer Surgical Technology in Marquette, Michigan, United States. The firm was Michigan's largest private medical technology company. The company was founded by Matthew Songer, and its first major product was the Songer Cable, used in spine surgeries. The Songer Cable was featured in the book, ""Contemporary Management of Spinal Cord Injuries: From Impact to Rehabilitation.""Pioneer Surgical has since developed products in the spine, biologics, orthopedics, and cardio-thoracic markets. Pioneer has facilities throughout the U.S. and Europe and employs nearly 300 people. In 2007, Pioneer acquired Angstrom Medica, a Massachusetts-based medical company focused on nanotechnology and Encelle, A North Carolina-based company researching and developing tissue regeneration products. Pioneer was acquired in July 2013 by RTI Biologics, and the firm was then renamed RTI Surgical."
"342","Arotech Corporation is a defense and security products and services company. It manufactures and designs products for military and non-military air and ground vehicles; interactive simulation for military, law enforcement and commercial markets, and batteries and charging systems for the military. Arotech operates through two major business divisions: Interactive simulation for military, law enforcement and commercial markets, and batteries and power systems for the military.Arotech is incorporated in Delaware, with corporate offices in Ann Arbor, Michigan and research, development and production subsidiaries in Michigan, South Carolina and Israel. Raytheon Company remains Arotech's chief competitor in defense, homeland security and other government markets."
"343","Caesarstone Ltd., or Caesarstone (Hebrew: <U+05D0><U+05D1><U+05DF> <U+05E7><U+05D9><U+05E1><U+05E8><U+200E>, Even Qeysar), is a publicly traded company that engages in the production and marketing of quartz surfaces used for kitchen countertops, vanity tops, flooring, wall cladding and general interior design. The company was founded in 1987 and is traded on the NASDAQ in New York (CSTE). Headquarters are located in Kibbutz Sdot Yam in Israel, and its production facilities are in Israel and the USA.  Its products are sold in approximately 50 countries around the world through a network of 6 subsidiaries and numerous distributors."
"344","Stein Mart is an American discount men and women's department store chain based in Jacksonville, Florida.  The company reported a profit of $25.6 million in 2013 with operation of 260 stores in 29 states. Stein Mart has locations primarily in the Southeast, Texas and California. Stein Mart stores carry recent trends in clothing for both men and women. Additionally, home décor, accessories, and shoes are all available at discounted prices."
"345","CEVA is a publicly listed semiconductor intellectual property (IP) company, headquartered in Mountain View, California and specializes in digital signal processor (DSP) technology. The company's main development facility is located in Herzliya, Israel and Sophia Antipolis, France. CEVA was recently named in the Israeli 100 companies list of technologies that changed the world."
"346","Lincoln Electric Holdings, Inc. is an American multinational and a global manufacturer of welding products, arc welding equipment, welding consumables, plasma and oxy-fuel cutting equipment and robotic welding systems.
The Fortune 1000 company is headquartered in Euclid, Ohio, United States and has a worldwide network of distributors and sales offices covering more than 160 countries. It has 42 manufacturing locations in North America, Europe, Middle East, Asia and Latin America. It also operates manufacturing alliances and joint ventures in 19 countries.Lincoln Electric's business model was listed as one of the most studied by the Harvard Business School and has been featured in many case studies by other business schools around the world. Since 1975, eight cases have been written about Lincoln Electric by the Harvard Business School alone.The company reported over $2.9 billion sales in 2013, with sales from North America accounting for 50% of it. Lincoln has over 8500+ employees globally and 3000 in the United States alone.
Among Lincoln Electric's subsidiaries is The Harris Products Group, which is a manufacturer of Welding Consumables, Gas Apparatus, and other Specialty Products. The Harris Products Group has manufacturing facilities in Georgia, Ohio, California, Poland, Mexico, Brazil and Italy.
The company was founded in 1895 by John C. Lincoln with a capital investment of $200 to make electric motors he had designed."
"347","Advaxis Inc. is an American company devoted to the discovery, development and commercialization of immunotherapies based on a technology platform which uses engineered Listeria monocytogenes (aka Lm).  The company is headquartered in Princeton, New Jersey and was incorporated in Delaware in 2006.The Lm-based platform on which the company's products are based involves the use of attenuated Lm which secrete antigen/adjuvant fusion proteins and stimulate a patient's immune system (specifically their T cells) to mount an immune response to the secreted antigen; if the antigen is specifically found on cancerous cells, then the result aims to be an effective immune response targeting and eliminating the cancer.  Treatments developed using this paradigm are referred to as Lm-LLO immunotherapies.Today, the Company has over fifteen distinct constructs in various stages of development, directly developed by the Company and through strategic collaborations with recognized centers of excellence such as: the National Cancer Institute, Cancer Research – UK, the Wistar Institute, the University of Pennsylvania, and the Department of Homeland Security among others.
The Company also has a veterinary medicine program that is evaluating an Lm-LLO based immunotherapy in a Phase 1 study in canine osteosarcoma. Source: www.advaxis.com"
"348","Edgewater Technology became part of the Alithya Group in November 2018. Prior to that, it was a Massachusetts-based, publicly traded business (NASDAQ: EDGW) and IT consulting firm with an international reach. The company had approximately 400 employees. Edgewater was ranked 89th in the Top Performing Public Companies in Massachusetts in 2013 by The Boston Globe’s Annual Globe 100. Edgewater had three divisions that operated independently; Edgewater Consulting, Edgewater Ranzal, and Edgewater Fullscope."
"349","Trimble Inc. is a Sunnyvale, California-based developer of [Global Navigation Satellite System] (GNSS) receivers, laser rangefinders, unmanned aerial vehicles (UAVs), inertial navigation systems and software processing tools. The company was founded in November 1978."
"350","Global Sources (Chinese: <U+74B0><U+7403><U+8CC7><U+6E90>) (NASDAQ: GSOL) is a Hong-Kong based business-to-business (B2B) media company. It facilitates trade from Greater China to the world, using a wide range of English-language media and facilitates trade from the world to Greater China, using Chinese-language media.  The company provides sourcing information to volume buyers and integrated marketing services to suppliers. In addition, Global Sources verifies the quality of the manufacturer.
The company was founded in November 1970 by Merle A. Hinrichs and C. Joseph Bendy as Trade Media Ltd., its first publication, Asian Sources magazine, was launched three months later. At September 1974, the company's first spin-off publication – Asian Sources Electronics appeared. More industry-specific titles were subsequently added.
In 1996, Global Sources launched the industry's firstBusiness-to-Business website,Asian Sources Online and its monthly CD-ROW. Both   were designed to supplement and complement the company's trade publications.
The company launched its China Sourcing Fairs in 2003.
Today, more than 1 million international buyers, including 95 of the world's top 100 retailers, use Global Sources services to obtain product and company information to help them source profitably from overseas supply markets. These services include

China Sourcing Fairs that bring international buyers face-to-face with quality suppliers. Specialized shows take place in Hong Kong, New Delhi, Miami, Johannesburg and São Paulo.
Online Trade Shows are launched in 2011 where buyers can access  profiles of each exhibitor's featured products,   images of the booths, and videos on companies, products and conference sessions.
Private sourcing events create opportunities for pre-selected suppliers to meet privately with buyers representing retail chains.
Global Sources online marketplaces (GlobalSources.com) allow buyers to contact manufacturers directly for inquiries and purchases
Global Sources Magazines feature thousands of informative supplier advertisements. Each of the 19 industry titles provides reports on new products and trends in sourcing. Print, digital and mobile app editions are available.
China Sourcing Reports provide market intelligence. Each report contains an industry overview, supplier profiles, photo gallery of top-selling products and other market information.In February, 2018 UK-based Clarion Events (owned by Blackstone Group) completed its acquisition of Global Sources.In April 2018, Global Sources announced the 'significant downsizing' of its Singapore office. In July 2018, Craig Pepples was removed as CEO of Global Sources, after a brief 18-months stint in the position. Replacing Pepples is Hu Wei, former President of Reed Exhibitions in China."
"351","Bsquare Corporation is an Internet of Things (IoT) provider, technology distributor and system integrator headquartered in Bellevue, Washington that supports OEMs, ODMs and Enterprises with professional development services. Bsquare is listed on the NASDAQ exchange. As of 2015, the company has approximately 250 employees worldwide."
"352","B Communications is a publicly traded holding company, headquartered in Israel, whose sole asset is a controlling interest in Israeli telecommunications provider Bezeq. Its shares are traded on the NASDAQ Global Select Market and on the Tel Aviv Stock Exchange."
"353","Orexigen Therapeutics is a public American pharmaceutical company focused on development of treatments for obesity.  The company is based in La Jolla, California and was established by Eckard Weber in 2002.  As a public company, Orexigen is traded on the NASDAQ exchange under the stock symbol OREX.  The company has a single product, Contrave, approved for use in the United States in 2014.  The launch of Contrave was conducted through a sales force of 900.   Observation of the market performance of Qsymia and Belviq suggest overall low demand for pharmaceutical obesity therapies, calling into question earnings potential for Orexigen's offering.


== References =="
"354","OrthoPediatrics is an American bio-science company engaged in designing, developing, manufacturing, and distributing orthopedic implants and instruments for pediatric issues. It is based in Warsaw, Indiana."
"355","Nordson Corporation is an American multinational corporation that designs and manufactures dispensing equipment for consumer and industrial adhesives, sealants and coatings. The company also manufactures equipment used in the testing and inspection of electronic components, technology-based systems for curing and surface treatment processes as well as medical devices and component technologies. The company is headquartered in Westlake, Ohio, and has direct operations and sales-support offices in approximately 30 countries."
"356","Euronet Worldwide is a US provider of electronic payment services with headquartered in Leawood, Kansas. It offers automated teller machines (ATM), point of sale (POS) services, credit/debit card services, currency exchange and other electronic financial services. Among others, it provides the prepaid subsidiaries Transact, PaySpot, e-pay, Movilcarga, TeleRecarga and ATX."
"357","Echelon Corporation is an American company which designs control networks to connect machines and other electronic devices, for the purposes of sensing, monitoring and control."
"358","EXFO is a company that designs and manufactures test instruments and service assurance products for fixed and mobile telecom networks. Its products include optical, transport, datacom, 3G, LTE, copper, xDSL, IMS and VoIP test platforms used by network operators and network equipment manufacturers to assess telecom infrastructure and the telecom services carried on it.
EXFO is headquartered in Quebec City, Quebec, Canada, and has over 1200 employees worldwide."
"359","Tellurian Inc. is a natural gas company headquartered in Houston, Texas U.S.A.  It was founded in 2016 by Charif Souki and Martin Houston and is led by President and CEO Meg Gentle."
"360","Travelzoo is an Internet company that publishes deals from more than 2,000 travel, entertainment and local businesses such as restaurants and spas. It has 28 million members in North America, Europe, and Asia Pacific and 25 offices worldwide.Companies pay to advertise their deals with Travelzoo, but only those approved by Travelzoo are listed."
"361","Wingstop Inc. is a chain of nostalgic, aviation-themed restaurants specializing in chicken wings. Wingstop locations are decorated following a 1930s and 1940s ""pre-jet"" aviation theme. The restaurant chain was founded in 1994 in Garland, Texas, and began offering franchises in 1998. Since then, Wingstop has grown into a chain with more than 1,000 restaurants either open or in development.  The chain is headquartered in Dallas, Texas.
In 2003, the chain was acquired by Gemini Investors, which sold it to Roark Capital Group in 2010. Wingstop went public in 2015.Three-time Super Bowl champion and NFL Hall of Fame inductee Troy Aikman formerly served as the chain's national spokesman."
"362","Amkor Technology, Inc. is a semiconductor product packaging and test services provider. The company has been headquartered in Tempe, Arizona, since 2005, when it was moved from West Chester, Pennsylvania, United States. The company was founded in 1969 and, as of 2017, had approximately 29,300 employees worldwide and a reported $4.19 billion in sales.
With factories in China, Japan, Korea, Malaysia, Philippines, Portugal and Taiwan, Amkor is a leading player in the semiconductor industry. It packages and tests integrated circuits (ICs) for chip manufacturers.
In February 2016, Amkor fully acquired J-Devices Corp., the largest outsourced semiconductor assembly and test provider in Japan.Amkor Technology has competitiveness for chip assembly by thermal compression as well as wafer level packaging. In September 2018, Amkor Technology opened manufacturing and test plant at Longtan Science Park in Taiwan."
"363","Align Technology is a manufacturer of 3D digital scanners and clear aligners used in orthodontics. It is headquartered in San Jose, California; it manufactures the aligners in Juarez, Mexico and its scanners in Israel."
"364","EXL Service is a leading operations management and analytics company. EXL offers  insurance, banking, financial services, utilities, healthcare, travel, transportation and logistics services. The company is headquartered in New York City with more than 27,000 professionals in locations throughout the United States, Europe, Asia, Latin America and South Africa.EXL was co-founded in 1999 by Vikram Talwar and Rohit Kapoor.After formation in 1999, Vikram Talwar served as Chief Executive Officer (CEO) and Vice-chairman. Currently, Rohit Kapoor is serving as the company's CEO and Vice-Chairman. Previously, Kapoor had held the position of president in the company.In August 2001, Conseco acquired EXL and operated it as a wholly owned subsidiary. In 2002, Oak Hill Capital Partners and FTVentures acquired the company from Conseco,.  The company's stock started trading on the NASDAQ exchange on October 20, 2006 under the symbol EXLS.Shortly before EXL's debut on NASDAQ, it started down the path of growth through acquisitions with the purchase of the peer company Inductis.  This acquisition was aimed at diversifying the revenue stream for EXL; prior to acquisition, 90% of EXL's revenues were from business process outsourcing (BPO), while after, BPO accounted for 70% with the balance in research and analytics and advisory services.In 2011, EXL expanded their delivery footprint in Eastern Europe and South East Asia through acquisition of OPI.In 2013, in reaction to the establishment of the Affordable Care Act and its mandate that all Americans acquire health insurance, EXL was reported to have planned a major run of acquisitions in the United States healthcare industry.  At the time of this report in 2013, EXL drew ~10% of its revenues from the healthcare industry.In 2014, EXL expanded into Latin America through a strategic joint venture with CT&S through which EXL's technology experience would be combined with CT&S's local knowledge and brand image.  This joint venture also supported the growing customer base of EXL for Spanish language services.As of 2016, EXL had more than 25,000 employees."
"365","Famous Dave's of America is a chain of barbecue restaurants primarily located in the Midwestern United States, serving pork ribs, chicken, beef brisket, and several flavors of barbecue sauce.  Dave Anderson, an Ojibwe who served as the head of the federal Bureau of Indian Affairs from 2004 to 2005, started the first Famous Dave's restaurant near Hayward, Wisconsin in 1994. The restaurant chain grew throughout the Midwestern United States, and Puerto Rico in 2014. It has 180 locations in 33 U.S. states as of 2018."
"366","Kornit Digital(NASDAQ: KRNT) is an international manufacturing company based in Israel. It produces high-speed industrial inkjet printers, and pigmented ink and chemical products for the garment and apparel decorating industry. Kornit Digital has offices in Israel, Hong Kong, US, and Germany. The company's CEO has been Ofer Ben Zur since 2002 and the manager of Kornit's R&D department."
"367","AmeriServ Financial, Inc. is a bank holding company based in Johnstown, Pennsylvania. It operates AmeriServ Financial Bank, AmeriServ Trust and Financial Services Company, and AmeriServ Life Insurance Company. The bank operates 18 automated teller machines.Since 1996, the company has been the main sponsor of the Flood City Music Festival in Johnstown, Pennsylvania."
"368","Facebook, Inc. is an American online social media and social networking service company based in Menlo Park, California. It was founded by Mark Zuckerberg, along with fellow Harvard College students and roommates Eduardo Saverin, Andrew McCollum, Dustin Moskovitz and Chris Hughes. It is considered one of the Big Four technology companies along with Amazon, Apple, and Google.The founders initially limited the website's membership to Harvard students and subsequently Columbia, Stanford, and Yale students. Membership was eventually expanded to the remaining Ivy League schools, MIT, and higher education institutions in the Boston area. Facebook gradually added support for students at various other universities, and eventually to high school students. Since 2006, anyone who claims to be at least 13 years old has been allowed to become a registered user of Facebook, though variations exist in this requirement, depending on local laws. The name comes from the face book directories often given to American university students. Facebook held its initial public offering (IPO) in February 2012, valuing the company at $104 billion, the largest valuation to date for a newly listed public company. It began selling stock to the public three months later. Facebook makes most of its revenue from advertisements that appear onscreen. 
The Facebook service can be accessed from devices with Internet connectivity, such as personal computers, tablets and smartphones. After registering, users can create a customized profile revealing information about themselves. Users can post text, photos and multimedia of their own devising and share it with other users as ""friends"". Users can use various embedded apps, and receive notifications of their friends' activities. Users may join common-interest groups.
Facebook had more than 2.3 billion monthly active users as of December 2018. It receives prominent media coverage, including many controversies such as user privacy and psychological effects. The company has faced intense pressure over censorship and over content that some users find objectionable.
Facebook offers other products and services. It acquired Instagram, WhatsApp, Oculus, and GrokStyle and independently developed Facebook Messenger, Facebook Watch, and Facebook Portal."
"369","Dave & Buster's is an American restaurant and entertainment business headquartered in Dallas. Each Dave & Buster's has a full-service restaurant and a video arcade. As of May 2019, the company has 128 locations in the United States and Canada, with more announced to open in the near future."
"370","Cincinnati Financial Corporation offers property and casualty insurance, its main business, through The Cincinnati Insurance Company, The Cincinnati Indemnity Company and The Cincinnati Casualty Company. The company has 1.01% of the domestic property and casualty insurance premiums, which ranks it as the 20th largest insurance company by market share in the U.S.The Cincinnati Insurance Company was founded in 1950 by four agents, including brothers John Jack Schiff and Robert Cleveland Schiff.The Cincinnati Life Insurance Company markets life and disability income insurance and annuities. CFC Investment Company supports the insurance subsidiaries and their independent agent representatives through commercial leasing and financing activities. CinFin Capital Management Company provides asset management services to institutions, corporations and individuals.
In 2001, SFAS 133 adjustments were included with realized capital gains or losses rather than investment income. The impact on nine-month 2001 earnings was an after-tax gain of $1.3 million. Prior period 2001 results were restated on this basis.
In 2008, Cincinnati began writing excess and surplus lines insurance under a new subsidiary called the Cincinnati Specialty Underwriters Insurance Company.
MSP Underwriting, a global specialty underwriter, was acquired in February 2019, and was rebranded Cincinnati Global Underwriting Ltd. on May 1, 2019. Based in London, Cincinnati Global Underwriting Ltd. operates through Cincinnati Global Underwriting Agency Ltd., which is the Lloyd's managing agent for Cincinnati Global Syndicate 318. Collectively, the group is known as Cincinnati Global."
"371","El Pollo Loco, Inc. is a restaurant chain based in the United States, specializing in Mexican-style grilled chicken. Restaurant service consists of: dine-in, take-out, with some locations offering drive through options. The company is headquartered in Costa Mesa, California and operates about 500 (as of January 2019) company-owned and franchised restaurants in the Southwestern United States."
"372","ePlus, Inc. (NASDAQ: PLUS) is an American IT assets selling and financing company headquartered in Herndon, Virginia.The company was formerly known as MLC Holdings, Inc. and changed its name to ePlus, inc. in 1999. In February, 2014, the company’s subsidiary, ePlus Technology Inc., was awarded by Cisco as Customer Satisfaction Excellence Golden Star because of its 12-month quality service. The company has joined the Cloudera Connect Partner Program, which is most influential community of industry’s IT vendors and sellers for Hadoop-based applications. It has a market capitalization of $1.303 Billion with an enterprise value (As of June 2018) of $1.19 Billion ."
